source,sentid,is_proper_name,uses_spanish_orthography,is_spa,spanish_word_has_nahuatl_morphemes,orig,inali_keep_spanish,ilv_keep_spanish,sep_keep_spanish,ack_keep_spanish,corrected_spanish_orthography
omitlan_1,0,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,0,0,1,0,0,niquihtoz,nikihtos,niquihtos,nikijtos,niquihtoz,
omitlan_1,0,0,1,0,0,ce,se,se,se,ce,>
omitlan_1,0,0,1,1,0,historia,historia,historia,historia,historia,
omitlan_1,0,0,1,1,0,cuando,cuando,cuando,cuando,cuando,
omitlan_1,0,0,1,0,0,o,o,o,o,o,
omitlan_1,0,0,1,0,0,nicatca,nikatka,nicatca,nikatka,nicatca,
omitlan_1,0,0,1,0,0,nitzotzocotzi,nitsotsokotsi,nitzotzocotzi,nitsotsokotsi,nitzotzocotzi,
omitlan_1,0,0,1,0,0,xa,xa,xa,xa,xa,
omitlan_1,0,0,1,0,0,o,o,o,o,o,
omitlan_1,0,0,1,0,0,nipiyaya,nipiyaya,nipiyaya,nipiyaya,nipiyaya,
omitlan_1,0,0,1,0,0,xa,xa,xa,xa,xa,
omitlan_1,0,0,1,0,0,queme,keme,queme,keme,queme,
omitlan_1,0,0,1,0,0,mahtlactl,mahtlaktl,mahtlactl,majtlaktl,mahtlactl,
omitlan_1,0,0,1,0,0,xihuitl,xiwitl,xiuitl,xiuitl,xihuitl,
omitlan_1,0,0,1,0,0,.,.,.,.,.,
omitlan_1,1,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,1,0,1,0,0,niquihlnamiqui,nikihlnamiki,niquihlnamiqui,nikijlnamiki,niquihlnamiqui,
omitlan_1,1,0,1,0,0,o,o,o,o,o,
omitlan_1,1,0,1,0,0,niyaya,niyaya,niyaya,niyaya,niyaya,
omitlan_1,1,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,1,0,1,1,0,pero,pero,pero,pero,pero,
omitlan_1,1,0,1,0,0,quemazá,kemasá,quemasá,kemasá,quemazá,
omitlan_1,1,0,1,0,0,acmo,akmo,acmo,akmo,acmo,
omitlan_1,1,0,1,0,0,o,o,o,o,o,
omitlan_1,1,0,1,0,0,niniquiya,ninikiya,niniquiya,ninikiya,niniquiya,
omitlan_1,1,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,1,0,1,1,0,porque,porque,porque,porque,porque,
omitlan_1,1,0,1,1,1,nocompañeros,nocompañeros,nocompañeros,nocompañeros,nocompañeros,
omitlan_1,1,0,1,0,0,o,o,o,o,o,
omitlan_1,1,0,1,0,0,huihuitzcaya,wiwitskaya,uiuitscaya,uiuitskaya,huihuitzcaya,
